# frame	input	Bezier Euler
200	5.82957	5.4959
201	5.81169	5.55952
202	5.7792	5.6057
203	5.7407	5.63168
204	5.70066	5.6347
205	5.65981	5.612
206	5.61233	5.56082
207	5.54624	5.47839
208	5.44671	5.36196
209	5.29561	5.20875
210	5.07698	5.01602
211	4.781	4.781
212	4.40435	4.48089
213	3.95353	4.10076
214	3.43948	3.64966
215	2.87743	3.13665
216	2.28162	2.57076
217	1.66459	1.96106
218	1.03599	1.31658
219	0.402616	0.646381
220	-0.230245	-0.0404906
221	-0.856198	-0.734985
222	-1.46783	-1.42805
223	-2.05633	-2.11065
224	-2.61378	-2.77372
225	-3.13418	-3.40822
226	-3.61781	-4.00509
227	-4.0711	-4.5553
228	-4.50558	-5.04978
229	-4.93565	-5.4795
230	-5.37407	-5.83539
231	-5.82634	-6.10842
232	-6.28953	-6.28953
233	-6.74993	-6.40297
234	-7.18602	-6.47901
235	-7.57065	-6.5176
236	-7.87663	-6.51871
237	-8.08257	-6.48231
238	-8.17507	-6.40835
239	-8.1511	-6.29681
240	-8.01774	-6.14764
241	-7.78792	-5.96082
242	-7.4778	-5.73631
243	-7.1025	-5.47406
244	-6.67359	-5.17405
245	-6.19817	-4.83625
246	-5.6786	-4.4606
247	-5.11646	-4.04709
248	-4.51192	-3.59566
249	-3.86419	-3.1063
250	-3.17096	-2.57895
251	-2.42898	-2.0136
252	-1.63079	-1.41019
253	-0.768699	-0.768699
254	0.164533	-0.0664569
255	1.17274	0.714625
256	2.25697	1.56772
257	3.40497	2.486
258	4.59802	3.46263
259	5.80867	4.49079
260	7.00691	5.56365
261	8.16086	6.67439
262	9.24968	7.81616
263	10.2634	8.98215
264	11.205	10.1655
265	12.0911	11.3595
266	12.954	12.5571
267	13.8224	13.7517
268	14.7251	14.9363
269	15.6799	16.1042
270	16.6972	17.2485
271	17.7786	18.3624
272	18.9252	19.4391
273	20.1441	20.4717
274	21.4534	21.4534
275	22.8829	22.4472
276	24.4824	23.5117
277	26.3014	24.6335
278	28.3928	25.7991
279	30.7785	26.9951
280	33.4453	28.208
281	36.3297	29.4245
282	39.3289	30.631
283	42.3064	31.8141
284	45.1226	32.9605
285	47.643	34.0566
286	49.7408	35.0891
287	51.3034	36.0444
288	52.2296	36.9092
289	52.4303	37.6699
290	51.8482	38.3133
291	50.4776	38.8258
292	48.3812	39.194
293	45.6895	39.4044
294	42.5903	39.4437
295	39.2983	39.2983
296	36.0025	38.93
297	32.8598	38.3243
298	29.9743	37.5034
299	27.3973	36.4895
300	25.1401	35.3049
301	23.1845	33.9719
302	21.4972	32.5126
303	20.0359	30.9493
304	18.7645	29.3042
305	17.6543	27.5997
306	16.6795	25.8579
307	15.8217	24.101
308	15.0651	22.3514
309	14.3951	20.6313
310	13.8008	18.9628
311	13.2701	17.3683
312	12.7955	15.8699
313	12.3664	14.49
314	11.9748	13.2508
315	11.6154	12.1744
316	11.2832	11.2832
317	10.9761	10.5468
318	10.6929	9.91418
319	10.4325	9.37671
320	10.1935	8.92568
321	9.97395	8.5524
322	9.77167	8.24819
323	9.58493	8.00437
324	9.41093	7.81225
325	9.25054	7.66314
326	9.10508	7.54836
327	8.97555	7.45921
328	8.85958	7.38703
329	8.74866	7.32311
330	8.62779	7.25878
331	8.46522	7.18534
332	8.24668	7.09412
333	7.95627	6.97642
334	7.58742	6.82356
335	7.14249	6.62686
336	6.63123	6.37762
337	6.06717	6.06717
338	5.46471	5.70832
339	4.83805	5.32174
340	4.20613	4.91055
341	3.57223	4.47784
342	2.95088	4.02672
343	2.35477	3.56029
344	1.79433	3.08166
345	1.27409	2.59392
346	0.800277	2.10018
347	0.373163	1.60355
348	-0.0105951	1.10713
349	-0.357441	0.614012
350	-0.67662	0.127313
351	-0.984032	-0.349867
352	-1.2915	-0.814427
353	-1.60669	-1.26326
354	-1.92969	-1.69327
355	-2.25783	-2.10134
356	-2.5808	-2.48439
357	-2.88616	-2.83929
358	-3.16295	-3.16295
359	-3.40387	-3.4634
360	-3.60444	-3.75077
361	-3.77105	-4.02515
362	-3.91484	-4.28661
363	-4.04993	-4.53522
364	-4.1899	-4.77106
365	-4.34486	-4.99421
366	-4.5215	-5.20473
367	-4.72019	-5.40271
368	-4.937	-5.58822
369	-5.16455	-5.76133
370	-5.39419	-5.92211
371	-5.61748	-6.07066
372	-5.82782	-6.20703
373	-6.02029	-6.3313
374	-6.19288	-6.44355
375	-6.34567	-6.54385
376	-6.4811	-6.63229
377	-6.60288	-6.70892
378	-6.71641	-6.77383
379	-6.8271	-6.8271
380	-6.94072	-6.86136
381	-7.06064	-6.87062
382	-7.1874	-6.85705
383	-7.31871	-6.82278
384	-7.44801	-6.76998
385	-7.56623	-6.70077
386	-7.6635	-6.61732
387	-7.73059	-6.52178
388	-7.76122	-6.41629
389	-7.75263	-6.30299
390	-7.70586	-6.18405
391	-7.62412	-6.06161
392	-7.511	-5.93781
393	-7.36901	-5.81481
394	-7.19704	-5.69475
395	-6.99045	-5.57979
396	-6.74103	-5.47206
397	-6.43914	-5.37373
398	-6.07635	-5.28694
399	-5.64802	-5.21384
400	-5.15657	-5.15657
401	-4.61195	-5.10095
402	-4.03203	-5.03306
403	-3.44116	-4.95543
404	-2.86633	-4.8706
405	-2.33306	-4.7811
406	-1.86182	-4.68947
407	-1.46583	-4.59824
408	-1.15061	-4.50997
409	-0.916238	-4.42717
410	-0.762087	-4.35239
411	-0.687973	-4.28817
412	-0.698647	-4.23704
413	-0.802722	-4.20154
414	-1.01078	-4.1842
415	-1.3284	-4.18757
416	-1.75432	-4.21417
417	-2.27592	-4.26655
418	-2.86976	-4.34724
419	-3.50602	-4.45879
420	-4.15337	-4.60372
421	-4.78457	-4.78457
422	-5.38222	-5.0143
423	-5.94063	-5.30024
424	-6.46663	-5.63646
425	-6.97474	-6.01705
426	-7.48366	-6.4361
427	-8.01066	-6.88768
428	-8.56686	-7.36588
429	-9.15442	-7.86478
430	-9.76576	-8.37847
431	-10.3852	-8.90102
432	-10.9907	-9.42653
433	-11.5575	-9.94908
434	-12.0618	-10.4627
435	-12.4841	-10.9616
436	-12.8133	-11.4398
437	-13.0498	-11.8913
438	-13.206	-12.3102
439	-13.3055	-12.6907
440	-13.3766	-13.0269
441	-13.4482	-13.3127
442	-13.5423	-13.5423
443	-13.6705	-13.7326
444	-13.8342	-13.9041
445	-14.0253	-14.0565
446	-14.2303	-14.1895
447	-14.4343	-14.3028
448	-14.6243	-14.396
449	-14.7905	-14.4688
450	-14.9269	-14.5209
451	-15.0301	-14.552
452	-15.0995	-14.5617
453	-15.1347	-14.5497
454	-15.1361	-14.5157
455	-15.1034	-14.4593
456	-15.0352	-14.3803
457	-14.9283	-14.2783
458	-14.7771	-14.1529
459	-14.5756	-14.0039
460	-14.3162	-13.8309
461	-13.9936	-13.6336
462	-13.6079	-13.4117
463	-13.1648	-13.1648
464	-12.6773	-12.6949
465	-12.1629	-11.8439
466	-11.64	-10.6714
467	-11.1229	-9.23723
468	-10.6185	-7.60099
469	-10.1253	-5.82239
470	-9.6336	-3.9611
471	-9.12904	-2.07681
472	-8.59768	-0.22921
473	-8.03338	1.52202
474	-7.43834	3.1172
475	-6.8271	4.49664
476	-6.22005	5.60066
477	-5.63991	6.36958
478	-5.10545	6.7437
479	-4.62605	6.66335
480	-4.20002	6.06883
481	-3.81247	4.90048
482	-3.44019	3.09859
483	-3.05791	0.603495
484	-2.6445	-2.6445
485	-2.19487	-6.83738
486	-1.71833	-12.0571
487	-1.24118	-18.1984
488	-0.803801	-25.1558
489	-0.451822	-32.8241
490	-0.234272	-41.0978
491	-0.191135	-49.8717
492	-0.353747	-59.0404
493	-0.749235	-68.4985
494	-1.40368	-78.1407
495	-2.37211	-87.8617
496	-3.77499	-97.556
497	-5.89447	-107.118
498	-9.44456	-116.444
499	-16.6175	-125.426
500	-37.2042	-133.961
