# frame	input	Bezier SLERP quaternion
200	5.82957	5.4812
201	5.81169	5.55133
202	5.7792	5.60414
203	5.7407	5.63647
204	5.70066	5.64515
205	5.65981	5.62703
206	5.61233	5.57896
207	5.54624	5.49781
208	5.44671	5.38048
209	5.29561	5.2239
210	5.07698	5.02506
211	4.781	4.781
212	4.40435	4.47051
213	3.95353	4.08052
214	3.43948	3.62033
215	2.87743	3.09927
216	2.28162	2.52666
217	1.66459	1.91178
218	1.03599	1.26388
219	0.402616	0.59215
220	-0.230245	-0.0943172
221	-0.856198	-0.786504
222	-1.46783	-1.47549
223	-2.05633	-2.15247
224	-2.61378	-2.80871
225	-3.13418	-3.43559
226	-3.61781	-4.02457
227	-4.0711	-4.56719
228	-4.50558	-5.055
229	-4.93565	-5.47959
230	-5.37407	-5.83254
231	-5.82634	-6.10538
232	-6.28953	-6.28953
233	-6.74993	-6.39617
234	-7.18602	-6.44508
235	-7.57065	-6.44036
236	-7.87663	-6.38597
237	-8.08257	-6.28571
238	-8.17507	-6.14314
239	-8.1511	-5.96162
240	-8.01774	-5.74427
241	-7.78792	-5.49399
242	-7.4778	-5.21343
243	-7.1025	-4.90507
244	-6.67359	-4.57119
245	-6.19817	-4.21394
246	-5.6786	-3.83536
247	-5.11646	-3.43744
248	-4.51192	-3.02221
249	-3.86419	-2.59176
250	-3.17096	-2.1484
251	-2.42898	-1.69469
252	-1.63079	-1.23363
253	-0.768699	-0.768699
254	0.164533	-0.274425
255	1.17274	0.278002
256	2.25697	0.889652
257	3.40497	1.56162
258	4.59802	2.29499
259	5.80867	3.09076
260	7.00691	3.94977
261	8.16086	4.8726
262	9.24968	5.85946
263	10.2634	6.91004
264	11.205	8.02335
265	12.0911	9.1975
266	12.954	10.4295
267	13.8224	11.7151
268	14.7251	13.0483
269	15.6799	14.4213
270	16.6972	15.8243
271	17.7786	17.245
272	18.9252	18.6688
273	20.1441	20.0782
274	21.4534	21.4534
275	22.8829	22.8354
276	24.4824	24.2762
277	26.3014	25.7696
278	28.3928	27.3069
279	30.7785	28.8768
280	33.4453	30.465
281	36.3297	32.0539
282	39.3289	33.6222
283	42.3064	35.1449
284	45.1226	36.5935
285	47.643	37.9368
286	49.7408	39.1413
287	51.3034	40.173
288	52.2296	40.9989
289	52.4303	41.5886
290	51.8482	41.9168
291	50.4776	41.9646
292	48.3812	41.7221
293	45.6895	41.1887
294	42.5903	40.3743
295	39.2983	39.2983
296	36.0025	37.9108
297	32.8598	36.222
298	29.9743	34.3423
299	27.3973	32.3671
300	25.1401	30.3727
301	23.1845	28.4155
302	21.4972	26.534
303	20.0359	24.752
304	18.7645	23.0821
305	17.6543	21.5294
306	16.6795	20.0938
307	15.8217	18.7722
308	15.0651	17.5598
309	14.3951	16.4516
310	13.8008	15.4425
311	13.2701	14.5281
312	12.7955	13.7048
313	12.3664	12.9698
314	11.9748	12.3215
315	11.6154	11.7592
316	11.2832	11.2832
317	10.9761	10.882
318	10.6929	10.5364
319	10.4325	10.2367
320	10.1935	9.97493
321	9.97395	9.74369
322	9.77167	9.53645
323	9.58493	9.34728
324	9.41093	9.17069
325	9.25054	9.00156
326	9.10508	8.8351
327	8.97555	8.66679
328	8.85958	8.49237
329	8.74866	8.30781
330	8.62779	8.10932
331	8.46522	7.89336
332	8.24668	7.65664
333	7.95627	7.39615
334	7.58742	7.10919
335	7.14249	6.79336
336	6.63123	6.44658
337	6.06717	6.06717
338	5.46471	5.65223
339	4.83805	5.20483
340	4.20613	4.73208
341	3.57223	4.2405
342	2.95088	3.73604
343	2.35477	3.22402
344	1.79433	2.7092
345	1.27409	2.19577
346	0.800277	1.68739
347	0.373163	1.18728
348	-0.0105951	0.69821
349	-0.357441	0.222621
350	-0.67662	-0.237371
351	-0.984032	-0.6799
352	-1.2915	-1.10331
353	-1.60669	-1.50608
354	-1.92969	-1.88683
355	-2.25783	-2.24421
356	-2.5808	-2.57692
357	-2.88616	-2.88363
358	-3.16295	-3.16295
359	-3.40387	-3.42247
360	-3.60444	-3.67149
361	-3.77105	-3.91095
362	-3.91484	-4.14158
363	-4.04993	-4.36398
364	-4.1899	-4.57854
365	-4.34486	-4.78556
366	-4.5215	-4.9852
367	-4.72019	-5.17752
368	-4.937	-5.36248
369	-5.16455	-5.53997
370	-5.39419	-5.70978
371	-5.61748	-5.87164
372	-5.82782	-6.02524
373	-6.02029	-6.17016
374	-6.19288	-6.30596
375	-6.34567	-6.4321
376	-6.4811	-6.54799
377	-6.60288	-6.65297
378	-6.71641	-6.74629
379	-6.8271	-6.8271
380	-6.94072	-6.88834
381	-7.06064	-6.92436
382	-7.1874	-6.93647
383	-7.31871	-6.92603
384	-7.44801	-6.89449
385	-7.56623	-6.8434
386	-7.6635	-6.7744
387	-7.73059	-6.68927
388	-7.76122	-6.5899
389	-7.75263	-6.47829
390	-7.70586	-6.3566
391	-7.62412	-6.22714
392	-7.511	-6.09233
393	-7.36901	-5.95474
394	-7.19704	-5.8171
395	-6.99045	-5.68223
396	-6.74103	-5.5531
397	-6.43914	-5.43278
398	-6.07635	-5.32443
399	-5.64802	-5.23127
400	-5.15657	-5.15657
401	-4.61195	-5.08427
402	-4.03203	-4.99777
403	-3.44116	-4.89965
404	-2.86633	-4.79263
405	-2.33306	-4.67954
406	-1.86182	-4.56338
407	-1.46583	-4.44731
408	-1.15061	-4.33464
409	-0.916238	-4.22883
410	-0.762087	-4.13347
411	-0.687973	-4.05224
412	-0.698647	-3.98887
413	-0.802722	-3.9471
414	-1.01078	-3.93061
415	-1.3284	-3.94293
416	-1.75432	-3.98739
417	-2.27592	-4.06705
418	-2.86976	-4.18458
419	-3.50602	-4.34225
420	-4.15337	-4.54183
421	-4.78457	-4.78457
422	-5.38222	-5.08383
423	-5.94063	-5.44506
424	-6.46663	-5.8574
425	-6.97474	-6.31044
426	-7.48366	-6.79441
427	-8.01066	-7.30034
428	-8.56686	-7.82011
429	-9.15442	-8.34643
430	-9.76576	-8.87285
431	-10.3852	-9.39363
432	-10.9907	-9.90369
433	-11.5575	-10.3985
434	-12.0618	-10.8738
435	-12.4841	-11.326
436	-12.8133	-11.7514
437	-13.0498	-12.1464
438	-13.206	-12.5077
439	-13.3055	-12.8317
440	-13.3766	-13.1147
441	-13.4482	-13.3529
442	-13.5423	-13.5423
443	-13.6705	-13.6948
444	-13.8342	-13.8259
445	-14.0253	-13.9367
446	-14.2303	-14.028
447	-14.4343	-14.1006
448	-14.6243	-14.1554
449	-14.7905	-14.193
450	-14.9269	-14.214
451	-15.0301	-14.219
452	-15.0995	-14.2086
453	-15.1347	-14.183
454	-15.1361	-14.1428
455	-15.1034	-14.0883
456	-15.0352	-14.0197
457	-14.9283	-13.9374
458	-14.7771	-13.8414
459	-14.5756	-13.7321
460	-14.3162	-13.6096
461	-13.9936	-13.474
462	-13.6079	-13.3257
463	-13.1648	-13.1648
464	-12.6773	-12.9692
465	-12.1629	-12.7182
466	-11.64	-12.4144
467	-11.1229	-12.0603
468	-10.6185	-11.6592
469	-10.1253	-11.2142
470	-9.6336	-10.7291
471	-9.12904	-10.2077
472	-8.59768	-9.65433
473	-8.03338	-9.07363
474	-7.43834	-8.47054
475	-6.8271	-7.85037
476	-6.22005	-7.21887
477	-5.63991	-6.58222
478	-5.10545	-5.94711
479	-4.62605	-5.32086
480	-4.20002	-4.7115
481	-3.81247	-4.12805
482	-3.44019	-3.58073
483	-3.05791	-3.08146
484	-2.6445	-2.6445
485	-2.19487	-2.28028
486	-1.71833	-1.99149
487	-1.24118	-1.78412
488	-0.803801	-1.66611
489	-0.451822	-1.6482
490	-0.234272	-1.74521
491	-0.191135	-1.97818
492	-0.353747	-2.37797
493	-0.749235	-2.99164
494	-1.40368	-3.89448
495	-2.37211	-5.21474
496	-3.77499	-7.18921
497	-5.89447	-10.3056
498	-9.44456	-15.7351
499	-16.6175	-26.9848
500	-37.2042	-56.9905
