# frame	input	SLERP quaternion
200	5.82957	4.66018
201	5.81169	4.67314
202	5.7792	4.6857
203	5.7407	4.69787
204	5.70066	4.70963
205	5.65981	4.72101
206	5.61233	4.73198
207	5.54624	4.74257
208	5.44671	4.75276
209	5.29561	4.76256
210	5.07698	4.77198
211	4.781	4.781
212	4.40435	4.23929
213	3.95353	3.69992
214	3.43948	3.16276
215	2.87743	2.62767
216	2.28162	2.09451
217	1.66459	1.56313
218	1.03599	1.03341
219	0.402616	0.505191
220	-0.230245	-0.0216597
221	-0.856198	-0.547284
222	-1.46783	-1.07182
223	-2.05633	-1.59542
224	-2.61378	-2.11823
225	-3.13418	-2.64037
226	-3.61781	-3.16201
227	-4.0711	-3.68329
228	-4.50558	-4.20436
229	-4.93565	-4.72537
230	-5.37407	-5.24646
231	-5.82634	-5.7678
232	-6.28953	-6.28953
233	-6.74993	-6.03687
234	-7.18602	-5.78597
235	-7.57065	-5.53646
236	-7.87663	-5.28797
237	-8.08257	-5.04012
238	-8.17507	-4.79254
239	-8.1511	-4.54481
240	-8.01774	-4.29653
241	-7.78792	-4.04727
242	-7.4778	-3.79656
243	-7.1025	-3.54392
244	-6.67359	-3.28882
245	-6.19817	-3.03071
246	-5.6786	-2.76897
247	-5.11646	-2.50294
248	-4.51192	-2.23187
249	-3.86419	-1.95495
250	-3.17096	-1.67128
251	-2.42898	-1.37981
252	-1.63079	-1.07939
253	-0.768699	-0.768699
254	0.164533	-0.146275
255	1.17274	0.496309
256	2.25697	1.16098
257	3.40497	1.84988
258	4.59802	2.5654
259	5.80867	3.31019
260	7.00691	4.08724
261	8.16086	4.89991
262	9.24968	5.75198
263	10.2634	6.64773
264	11.205	7.59201
265	12.0911	8.59037
266	12.954	9.64914
267	13.8224	10.7756
268	14.7251	11.978
269	15.6799	13.2662
270	16.6972	14.6511
271	17.7786	16.1459
272	18.9252	17.7657
273	20.1441	19.528
274	21.4534	21.4534
275	22.8829	22.1452
276	24.4824	22.8493
277	26.3014	23.5662
278	28.3928	24.2964
279	30.7785	25.0403
280	33.4453	25.7985
281	36.3297	26.5714
282	39.3289	27.3598
283	42.3064	28.164
284	45.1226	28.9848
285	47.643	29.8228
286	49.7408	30.6786
287	51.3034	31.5528
288	52.2296	32.4462
289	52.4303	33.3595
290	51.8482	34.2933
291	50.4776	35.2485
292	48.3812	36.2258
293	45.6895	37.226
294	42.5903	38.2499
295	39.2983	39.2983
296	36.0025	36.0897
297	32.8598	33.315
298	29.9743	30.8952
299	27.3973	28.7675
300	25.1401	26.8813
301	23.1845	25.1965
302	21.4972	23.6806
303	20.0359	22.3075
304	18.7645	21.0559
305	17.6543	19.9082
306	16.6795	18.85
307	15.8217	17.8693
308	15.0651	16.9561
309	14.3951	16.1019
310	13.8008	15.2995
311	13.2701	14.5428
312	12.7955	13.8264
313	12.3664	13.146
314	11.9748	12.4976
315	11.6154	11.8776
316	11.2832	11.2832
317	10.9761	11.0031
318	10.6929	10.728
319	10.4325	10.4576
320	10.1935	10.1915
321	9.97395	9.9293
322	9.77167	9.67075
323	9.58493	9.41554
324	9.41093	9.16341
325	9.25054	8.9141
326	9.10508	8.66737
327	8.97555	8.423
328	8.85958	8.18077
329	8.74866	7.94048
330	8.62779	7.70195
331	8.46522	7.46499
332	8.24668	7.22943
333	7.95627	6.99511
334	7.58742	6.76187
335	7.14249	6.52957
336	6.63123	6.29804
337	6.06717	6.06717
338	5.46471	5.51442
339	4.83805	4.97952
340	4.20613	4.46109
341	3.57223	3.95788
342	2.95088	3.4687
343	2.35477	2.99246
344	1.79433	2.52816
345	1.27409	2.07484
346	0.800277	1.63161
347	0.373163	1.19766
348	-0.0105951	0.772188
349	-0.357441	0.354465
350	-0.67662	-0.0562134
351	-0.984032	-0.460516
352	-1.2915	-0.859081
353	-1.60669	-1.25252
354	-1.92969	-1.64143
355	-2.25783	-2.02637
356	-2.5808	-2.40791
357	-2.88616	-2.78659
358	-3.16295	-3.16295
359	-3.40387	-3.31877
360	-3.60444	-3.47593
361	-3.77105	-3.63449
362	-3.91484	-3.79453
363	-4.04993	-3.95613
364	-4.1899	-4.11936
365	-4.34486	-4.28432
366	-4.5215	-4.45108
367	-4.72019	-4.61973
368	-4.937	-4.79037
369	-5.16455	-4.96307
370	-5.39419	-5.13795
371	-5.61748	-5.3151
372	-5.82782	-5.49462
373	-6.02029	-5.67661
374	-6.19288	-5.8612
375	-6.34567	-6.04848
376	-6.4811	-6.23859
377	-6.60288	-6.43164
378	-6.71641	-6.62777
379	-6.8271	-6.8271
380	-6.94072	-6.77368
381	-7.06064	-6.71796
382	-7.1874	-6.6599
383	-7.31871	-6.59945
384	-7.44801	-6.53658
385	-7.56623	-6.47123
386	-7.6635	-6.40336
387	-7.73059	-6.33293
388	-7.76122	-6.25987
389	-7.75263	-6.18413
390	-7.70586	-6.10567
391	-7.62412	-6.02441
392	-7.511	-5.94031
393	-7.36901	-5.85329
394	-7.19704	-5.76329
395	-6.99045	-5.67023
396	-6.74103	-5.57406
397	-6.43914	-5.47469
398	-6.07635	-5.37204
399	-5.64802	-5.26603
400	-5.15657	-5.15657
401	-4.61195	-5.13905
402	-4.03203	-5.12151
403	-3.44116	-5.10396
404	-2.86633	-5.08638
405	-2.33306	-5.06878
406	-1.86182	-5.05116
407	-1.46583	-5.03353
408	-1.15061	-5.01587
409	-0.916238	-4.99819
410	-0.762087	-4.98049
411	-0.687973	-4.96278
412	-0.698647	-4.94504
413	-0.802722	-4.92729
414	-1.01078	-4.90952
415	-1.3284	-4.89172
416	-1.75432	-4.87391
417	-2.27592	-4.85608
418	-2.86976	-4.83823
419	-3.50602	-4.82036
420	-4.15337	-4.80248
421	-4.78457	-4.78457
422	-5.38222	-5.32049
423	-5.94063	-5.83508
424	-6.46663	-6.33047
425	-6.97474	-6.80858
426	-7.48366	-7.27114
427	-8.01066	-7.71973
428	-8.56686	-8.15577
429	-9.15442	-8.58059
430	-9.76576	-8.99539
431	-10.3852	-9.4013
432	-10.9907	-9.79936
433	-11.5575	-10.1905
434	-12.0618	-10.5758
435	-12.4841	-10.956
436	-12.8133	-11.3319
437	-13.0498	-11.7044
438	-13.206	-12.0743
439	-13.3055	-12.4422
440	-13.3766	-12.8091
441	-13.4482	-13.1755
442	-13.5423	-13.5423
443	-13.6705	-13.5031
444	-13.8342	-13.4661
445	-14.0253	-13.4311
446	-14.2303	-13.3981
447	-14.4343	-13.3671
448	-14.6243	-13.3381
449	-14.7905	-13.3111
450	-14.9269	-13.286
451	-15.0301	-13.263
452	-15.0995	-13.2419
453	-15.1347	-13.2228
454	-15.1361	-13.2059
455	-15.1034	-13.1911
456	-15.0352	-13.1786
457	-14.9283	-13.1684
458	-14.7771	-13.1606
459	-14.5756	-13.1555
460	-14.3162	-13.1531
461	-13.9936	-13.1537
462	-13.6079	-13.1575
463	-13.1648	-13.1648
464	-12.6773	-12.8206
465	-12.1629	-12.4703
466	-11.64	-12.1129
467	-11.1229	-11.7477
468	-10.6185	-11.3738
469	-10.1253	-10.9901
470	-9.6336	-10.5954
471	-9.12904	-10.1884
472	-8.59768	-9.7677
473	-8.03338	-9.33151
474	-7.43834	-8.87793
475	-6.8271	-8.40474
476	-6.22005	-7.90937
477	-5.63991	-7.38883
478	-5.10545	-6.83962
479	-4.62605	-6.25762
480	-4.20002	-5.63792
481	-3.81247	-4.97465
482	-3.44019	-4.26075
483	-3.05791	-3.48757
484	-2.6445	-2.6445
485	-2.19487	-2.73836
486	-1.71833	-2.85995
487	-1.24118	-3.01527
488	-0.803801	-3.21226
489	-0.451822	-3.4616
490	-0.234272	-3.77802
491	-0.191135	-4.18236
492	-0.353747	-4.70517
493	-0.749235	-5.393
494	-1.40368	-6.32036
495	-2.37211	-7.61425
496	-3.77499	-9.50947
497	-5.89447	-12.4906
498	-9.44456	-17.7255
499	-16.6175	-28.7355
500	-37.2042	-58.7199
