# frame	input	Bezier Euler
600	-18.5098	-17.6201
601	-18.5822	-17.7387
602	-18.6236	-17.8509
603	-18.6372	-17.9529
604	-18.627	-18.0411
605	-18.5958	-18.112
606	-18.5446	-18.1618
607	-18.4709	-18.1869
608	-18.3712	-18.1837
609	-18.2409	-18.1485
610	-18.0777	-18.0777
611	-17.8818	-17.9646
612	-17.6594	-17.8081
613	-17.4206	-17.6131
614	-17.1783	-17.3847
615	-16.9443	-17.1277
616	-16.7275	-16.8471
617	-16.5296	-16.5477
618	-16.3459	-16.2346
619	-16.1656	-15.9127
620	-15.9745	-15.5869
621	-15.7581	-15.2621
622	-15.5055	-14.9433
623	-15.2127	-14.6355
624	-14.883	-14.3434
625	-14.5282	-14.0722
626	-14.1679	-13.8266
627	-13.8265	-13.6117
628	-13.5317	-13.4324
629	-13.309	-13.2937
630	-13.1798	-13.2003
631	-13.1574	-13.1574
632	-13.2442	-13.155
633	-13.4318	-13.1793
634	-13.7011	-13.2294
635	-14.0262	-13.3043
636	-14.3798	-13.4028
637	-14.7374	-13.5242
638	-15.1177	-13.6673
639	-15.5324	-13.8312
640	-15.9994	-14.015
641	-16.5315	-14.2174
642	-17.1248	-14.4378
643	-17.7526	-14.6749
644	-18.3663	-14.9278
645	-18.9052	-15.1956
646	-19.3038	-15.4772
647	-19.4954	-15.7716
648	-19.4618	-16.0779
649	-19.2049	-16.395
650	-18.7471	-16.722
651	-18.1288	-17.0579
652	-17.4017	-17.4017
653	-16.6214	-17.7512
654	-15.8383	-18.1058
655	-15.0999	-18.4671
656	-14.4296	-18.8365
657	-13.849	-19.2153
658	-13.3734	-19.6051
659	-13.0183	-20.0073
660	-12.803	-20.4233
661	-12.7526	-20.8546
662	-12.8959	-21.3026
663	-13.2611	-21.7688
664	-13.867	-22.2546
665	-14.7282	-22.7614
666	-15.8387	-23.2907
667	-17.1801	-23.844
668	-18.7221	-24.4227
669	-20.4264	-25.0282
670	-22.2319	-25.6619
671	-24.0846	-26.3254
672	-25.9355	-27.02
673	-27.7472	-27.7472
674	-29.4917	-28.5534
675	-31.1772	-29.4741
676	-32.6211	-30.4941
677	-34.2029	-31.5983
678	-35.7392	-32.7717
679	-37.2228	-33.9993
680	-38.6408	-35.2658
681	-39.9753	-36.5563
682	-41.2183	-37.8556
683	-42.375	-39.1488
684	-43.4629	-40.4206
685	-44.502	-41.656
686	-45.5016	-42.84
687	-46.4501	-43.9574
688	-47.3111	-44.9932
689	-48.0233	-45.9324
690	-48.5526	-46.7597
691	-48.9526	-47.4602
692	-49.0508	-48.0187
693	-48.9381	-48.4202
694	-48.6496	-48.6496
695	-48.2059	-48.7058
696	-47.639	-48.6059
697	-46.9781	-48.3625
698	-46.2469	-47.9878
699	-45.4651	-47.4942
700	-44.65	-46.8943
701	-43.8175	-46.2003
702	-42.9929	-45.4247
703	-42.1825	-44.5799
704	-41.283	-43.6783
705	-40.538	-42.7322
706	-39.8261	-41.7541
707	-39.138	-40.7565
708	-38.4664	-39.7516
709	-37.7973	-38.7519
710	-37.1197	-37.7698
711	-36.426	-36.8176
712	-35.7161	-35.9079
713	-34.9956	-35.053
714	-34.2732	-34.2652
715	-33.5571	-33.5571
716	-32.8528	-32.8602
717	-32.1609	-32.1048
718	-31.4761	-31.3017
719	-30.7896	-30.4613
720	-30.1323	-29.5943
721	-29.4642	-28.7114
722	-28.8811	-27.823
723	-28.1668	-26.9398
724	-27.4227	-26.0724
725	-26.5645	-25.2314
726	-25.6506	-24.4273
727	-24.6832	-23.6709
728	-23.6694	-22.9726
729	-22.6267	-22.3431
730	-21.5963	-21.793
731	-20.6687	-21.3329
732	-19.9695	-20.9734
733	-19.7276	-20.725
734	-19.9196	-20.5984
735	-20.2948	-20.6042
736	-20.753	-20.753
737	-21.2392	-21.0824
738	-21.7523	-21.6099
739	-22.3207	-22.3157
740	-22.9872	-23.1801
741	-23.7988	-24.1831
742	-24.7957	-25.3051
743	-26.0011	-26.5263
744	-27.4112	-27.8268
745	-28.9459	-29.187
746	-30.5948	-30.5869
747	-32.2229	-32.0069
748	-33.8861	-33.4272
749	-35.5546	-34.8279
750	-36.9621	-36.1893
751	-38.1764	-37.4916
752	-39.1835	-38.715
753	-40.0512	-39.8397
754	-40.8286	-40.846
755	-41.5585	-41.7141
756	-42.2666	-42.4241
757	-42.9564	-42.9564
758	-43.6124	-43.3299
759	-44.209	-43.5837
760	-44.7216	-43.7279
761	-45.1372	-43.7726
762	-45.4598	-43.7279
763	-45.7037	-43.6038
764	-45.8908	-43.4106
765	-46.0408	-43.1582
766	-46.1632	-42.8569
767	-46.2521	-42.5166
768	-46.2864	-42.1476
769	-46.2336	-41.7599
770	-46.056	-41.3636
771	-45.7192	-40.9689
772	-45.2023	-40.5858
773	-44.4994	-40.2244
774	-43.6245	-39.8948
775	-42.6069	-39.6072
776	-41.4856	-39.3717
777	-40.3025	-39.1983
778	-39.0971	-39.0971
779	-37.9058	-39.0531
780	-36.7625	-39.042
781	-35.7024	-39.0603
782	-34.7552	-39.1044
783	-33.9398	-39.1707
784	-33.3244	-39.2558
785	-32.9625	-39.3561
786	-32.9052	-39.468
787	-33.1815	-39.588
788	-33.7892	-39.7125
789	-34.6775	-39.838
790	-35.7456	-39.961
791	-36.872	-40.0778
792	-37.9382	-40.185
793	-38.7855	-40.279
794	-39.379	-40.3562
795	-39.7375	-40.4131
796	-39.9323	-40.4462
797	-40.0489	-40.4518
798	-40.1739	-40.4266
799	-40.3668	-40.3668
800	-40.6427	-40.2783
