# frame	input	Bezier Euler
200	6.90402	7.08885
201	6.95523	7.12858
202	7.01415	7.17027
203	7.07764	7.21499
204	7.14443	7.26381
205	7.21493	7.31781
206	7.29181	7.37806
207	7.37821	7.44564
208	7.47577	7.52162
209	7.5855	7.60708
211	7.8219	7.81335
212	7.93273	7.93951
213	8.02536	8.07961
214	8.09292	8.23169
215	8.133	8.39377
216	8.14934	8.56389
217	8.15219	8.74009
218	8.15587	8.92038
219	8.17815	9.10282
220	8.23548	9.28542
221	8.34081	9.46622
222	8.50121	9.64326
223	8.71659	9.81456
224	8.98	9.97816
225	9.27884	10.1321
226	9.5961	10.2744
227	9.91159	10.4031
228	10.2039	10.5162
229	10.4519	10.6118
230	10.6363	10.6879
232	10.7614	10.7604
233	10.6921	10.7316
234	10.5417	10.6625
235	10.3247	10.559
236	10.0605	10.4274
237	9.77159	10.2738
238	9.48089	10.1044
239	9.20983	9.92534
240	8.97641	9.74276
241	8.7941	9.56282
242	8.6708	9.39168
243	8.60834	9.23549
244	8.60267	9.10041
245	8.64504	8.99259
246	8.72696	8.91819
247	8.83358	8.88336
248	8.95345	8.89426
249	9.07932	8.95704
250	9.20935	9.07786
251	9.35083	9.26288
253	9.73265	9.84886
254	10.0182	10.2513
255	10.3936	10.7191
256	10.8765	11.2459
257	11.4674	11.8253
258	12.1516	12.4509
259	12.9018	13.1164
260	13.6798	13.8153
261	14.4502	14.5411
262	15.1837	15.2876
263	15.8644	16.0484
264	16.4958	16.817
265	17.0974	17.587
266	17.6957	18.352
267	18.3196	19.1057
268	18.988	19.8417
269	19.7091	20.5535
270	20.4793	21.2347
271	21.291	21.8791
272	22.1398	22.48
274	23.9848	23.5759
275	25.0427	24.1559
276	26.2516	24.7636
277	27.6663	25.3911
278	29.3161	26.0307
279	31.1991	26.6746
280	33.2669	27.3148
281	35.4355	27.9438
282	37.5907	28.5535
283	39.6173	29.1363
284	41.407	29.6844
285	42.8587	30.1899
286	43.8816	30.645
287	44.3898	31.042
288	44.301	31.3731
289	43.5546	31.6303
290	42.134	31.806
291	40.0844	31.8924
292	37.5169	31.8815
293	34.6011	31.7658
295	28.5038	31.1622
296	25.6513	30.623
297	23.0792	29.9361
298	20.8347	29.1178
299	18.9236	28.1844
300	17.3237	27.1524
301	15.9987	26.0381
302	14.9064	24.8578
303	14.0132	23.6279
304	13.2951	22.3647
305	12.7307	21.0847
306	12.3034	19.8042
307	11.9937	18.5394
308	11.7781	17.3069
309	11.6303	16.123
310	11.5223	15.0039
311	11.4311	13.9661
312	11.3369	13.026
313	11.2281	12.1998
314	11.1006	11.504
316	10.7956	10.5377
317	10.6273	10.2209
318	10.4531	9.99596
319	10.2728	9.85412
320	10.0857	9.78677
321	9.88999	9.78527
322	9.68623	9.84097
323	9.52614	9.94523
324	9.42697	10.0894
325	9.41985	10.2648
326	9.52607	10.4628
