# frame	input	Bezier SLERP quaternion
600	-18.5098	-16.9991
601	-18.5822	-17.094
602	-18.6236	-17.1989
603	-18.6372	-17.3115
604	-18.627	-17.4292
605	-18.5958	-17.5493
606	-18.5446	-17.6686
607	-18.4709	-17.784
608	-18.3712	-17.8925
609	-18.2409	-17.9912
610	-18.0777	-18.0777
611	-17.8818	-17.971
612	-17.6594	-17.8141
613	-17.4206	-17.6129
614	-17.1783	-17.3733
615	-16.9443	-17.1014
616	-16.7275	-16.8032
617	-16.5296	-16.485
618	-16.3459	-16.1527
619	-16.1656	-15.8124
620	-15.9745	-15.4698
621	-15.7581	-15.1309
622	-15.5055	-14.8013
623	-15.2127	-14.4867
624	-14.883	-14.1925
625	-14.5282	-13.9242
626	-14.1679	-13.6873
627	-13.8265	-13.4871
628	-13.5317	-13.3288
629	-13.309	-13.2177
630	-13.1798	-13.1589
631	-13.1574	-13.1574
632	-13.2442	-13.1702
633	-13.4318	-13.2606
634	-13.7011	-13.4201
635	-14.0262	-13.6405
636	-14.3798	-13.9136
637	-14.7374	-14.2311
638	-15.1177	-14.5846
639	-15.5324	-14.9651
640	-15.9994	-15.3633
641	-16.5315	-15.7694
642	-17.1248	-16.173
643	-17.7526	-16.5631
644	-18.3663	-16.928
645	-18.9052	-17.2555
646	-19.3038	-17.5328
647	-19.4954	-17.7467
648	-19.4618	-17.8838
649	-19.2049	-17.9307
650	-18.7471	-17.8742
651	-18.1288	-17.7018
652	-17.4017	-17.4017
653	-16.6214	-17.8331
654	-15.8383	-18.3801
655	-15.0999	-19.0248
656	-14.4296	-19.7497
657	-13.849	-20.5376
658	-13.3734	-21.3714
659	-13.0183	-22.2339
660	-12.803	-23.1079
661	-12.7526	-23.9764
662	-12.8959	-24.8219
663	-13.2611	-25.6272
664	-13.867	-26.375
665	-14.7282	-27.0482
666	-15.8387	-27.6297
667	-17.1801	-28.1026
668	-18.7221	-28.4502
669	-20.4264	-28.6561
670	-22.2319	-28.7042
671	-24.0846	-28.5788
672	-25.9355	-28.2647
673	-27.7472	-27.7472
674	-29.4917	-28.4152
675	-31.1772	-29.1749
676	-32.6211	-30.032
677	-34.2029	-30.9919
678	-35.7392	-32.0568
679	-37.2228	-33.2253
680	-38.6408	-34.4908
681	-39.9753	-35.8413
682	-41.2183	-37.2595
683	-42.375	-38.7229
684	-43.4629	-40.2043
685	-44.502	-41.6728
686	-45.5016	-43.0946
687	-46.4501	-44.434
688	-47.3111	-45.6548
689	-48.0233	-46.7211
690	-48.5526	-47.5988
691	-48.9526	-48.2562
692	-49.0508	-48.6652
693	-48.9381	-48.8022
694	-48.6496	-48.6496
695	-48.2059	-48.8301
696	-47.639	-48.7829
697	-46.9781	-48.5269
698	-46.2469	-48.0783
699	-45.4651	-47.4512
700	-44.65	-46.6593
701	-43.8175	-45.7171
702	-42.9929	-44.6405
703	-42.1825	-43.4489
704	-41.283	-42.165
705	-40.538	-40.8169
706	-39.8261	-39.438
707	-39.138	-38.0679
708	-38.4664	-36.7518
709	-37.7973	-35.5406
710	-37.1197	-34.4891
711	-36.426	-33.6543
712	-35.7161	-33.0931
713	-34.9956	-32.8594
714	-34.2732	-33.0012
715	-33.5571	-33.5571
716	-32.8528	-32.7661
717	-32.1609	-31.9452
718	-31.4761	-31.1043
719	-30.7896	-30.2536
720	-30.1323	-29.4029
721	-29.4642	-28.5614
722	-28.8811	-27.7377
723	-28.1668	-26.9393
724	-27.4227	-26.1725
725	-26.5645	-25.4426
726	-25.6506	-24.754
727	-24.6832	-24.1101
728	-23.6694	-23.5135
729	-22.6267	-22.9665
730	-21.5963	-22.471
731	-20.6687	-22.0293
732	-19.9695	-21.6437
733	-19.7276	-21.3177
734	-19.9196	-21.0559
735	-20.2948	-20.8647
736	-20.753	-20.753
737	-21.2392	-20.9435
738	-21.7523	-21.3675
739	-22.3207	-22.0089
740	-22.9872	-22.851
741	-23.7988	-23.8772
742	-24.7957	-25.0704
743	-26.0011	-26.4129
744	-27.4112	-27.8855
745	-28.9459	-29.4671
746	-30.5948	-31.1331
747	-32.2229	-32.8547
748	-33.8861	-34.5977
749	-35.5546	-36.3219
750	-36.9621	-37.9805
751	-38.1764	-39.5206
752	-39.1835	-40.8843
753	-40.0512	-42.0101
754	-40.8286	-42.8359
755	-41.5585	-43.3025
756	-42.2666	-43.3568
757	-42.9564	-42.9564
758	-43.6124	-43.5064
759	-44.209	-43.885
760	-44.7216	-44.1034
761	-45.1372	-44.1756
762	-45.4598	-44.1179
763	-45.7037	-43.9475
764	-45.8908	-43.6828
765	-46.0408	-43.3419
766	-46.1632	-42.943
767	-46.2521	-42.5034
768	-46.2864	-42.0398
769	-46.2336	-41.5675
770	-46.056	-41.1011
771	-45.7192	-40.654
772	-45.2023	-40.2389
773	-44.4994	-39.8677
774	-43.6245	-39.5521
775	-42.6069	-39.304
776	-41.4856	-39.136
777	-40.3025	-39.0618
778	-39.0971	-39.0971
779	-37.9058	-39.0034
780	-36.7625	-38.9178
781	-35.7024	-38.8456
782	-34.7552	-38.7915
783	-33.9398	-38.7593
784	-33.3244	-38.752
785	-32.9625	-38.7713
786	-32.9052	-38.8179
787	-33.1815	-38.8911
788	-33.7892	-38.9892
789	-34.6775	-39.1092
790	-35.7456	-39.2472
791	-36.872	-39.3983
792	-37.9382	-39.5568
793	-38.7855	-39.7167
794	-39.379	-39.8712
795	-39.7375	-40.014
796	-39.9323	-40.1392
797	-40.0489	-40.2416
798	-40.1739	-40.3179
799	-40.3668	-40.3668
800	-40.6427	-40.2957
