# frame	input	Bezier SLERP quaternion
200	6.90402	7.67324
201	6.95523	7.76525
202	7.01415	7.84422
203	7.07764	7.90763
204	7.14443	7.95296
205	7.21493	7.97767
206	7.29181	7.97923
207	7.37821	7.95509
208	7.47577	7.90271
209	7.5855	7.81955
211	7.8219	7.8574
212	7.93273	8.04683
213	8.02536	8.26254
214	8.09292	8.49554
215	8.133	8.73718
216	8.14934	8.97948
217	8.15219	9.21544
218	8.15587	9.43922
219	8.17815	9.64626
220	8.23548	9.83333
221	8.34081	9.99856
222	8.50121	10.1414
223	8.71659	10.2626
224	8.98	10.3638
225	9.27884	10.4478
226	9.5961	10.5175
227	9.91159	10.5764
228	10.2039	10.6273
229	10.4519	10.6721
230	10.6363	10.7112
232	10.7614	10.6947
233	10.6921	10.6087
234	10.5417	10.4936
235	10.3247	10.3591
236	10.0605	10.2149
237	9.77159	10.0701
238	9.48089	9.93318
239	9.20983	9.81156
240	8.97641	9.71125
241	8.7941	9.63669
242	8.6708	9.59033
243	8.60834	9.57228
244	8.60267	9.57989
245	8.64504	9.60749
246	8.72696	9.64639
247	8.83358	9.68532
248	8.95345	9.71163
249	9.07932	9.71337
250	9.20935	9.6819
251	9.35083	9.61482
253	9.73265	9.65155
254	10.0182	9.84445
255	10.3936	10.1078
256	10.8765	10.4533
257	11.4674	10.8928
258	12.1516	11.4382
259	12.9018	12.1003
260	13.6798	12.8879
261	14.4502	13.8058
262	15.1837	14.8532
263	15.8644	16.0207
264	16.4958	17.2873
265	17.0974	18.6171
266	17.6957	19.9573
267	18.3196	21.2377
268	18.988	22.3737
269	19.7091	23.2727
270	20.4793	23.845
271	21.291	24.0175
272	22.1398	23.7471
274	23.9848	23.9122
275	25.0427	24.6936
276	26.2516	25.3701
277	27.6663	25.94
278	29.3161	26.4056
279	31.1991	26.7726
280	33.2669	27.0504
281	35.4355	27.2509
282	37.5907	27.3888
283	39.6173	27.4804
284	41.407	27.5438
285	42.8587	27.598
286	43.8816	27.6632
287	44.3898	27.7607
288	44.301	27.9128
289	43.5546	28.1435
290	42.134	28.4791
291	40.0844	28.9488
292	37.5169	29.5866
293	34.6011	30.4328
295	28.5038	29.9293
296	25.6513	27.8119
297	23.0792	25.4704
298	20.8347	23.1321
299	18.9236	20.9479
300	17.3237	18.9992
301	15.9987	17.3167
302	14.9064	15.8988
303	14.0132	14.7265
304	13.2951	13.7725
305	12.7307	13.0075
306	12.3034	12.4032
307	11.9937	11.9334
308	11.7781	11.5747
309	11.6303	11.3071
310	11.5223	11.1138
311	11.4311	10.9814
312	11.3369	10.9006
313	11.2281	10.8668
314	11.1006	10.8815
316	10.7956	10.8465
317	10.6273	10.7443
318	10.4531	10.6546
319	10.2728	10.5819
320	10.0857	10.5294
321	9.88999	10.4986
322	9.68623	10.4902
323	9.52614	10.5037
324	9.42697	10.5378
325	9.41985	10.5906
326	9.52607	10.6599
327	9.74844	10.7432
328	10.0692	10.8377
329	10.4534	10.9407
330	10.8431	11.0499
331	11.2052	11.1631
332	11.4816	11.2791
333	11.6794	11.3974
334	11.7929	11.5189
335	11.8257	11.6463
337	11.6774	11.5975
338	11.5108	11.3423
339	11.2993	11.0393
340	11.0399	10.7063
341	10.7424	10.359
342	10.4151	10.0101
343	10.0655	9.66978
344	9.70011	9.34551
345	9.32151	9.04269
346	8.93319	8.76476
347	8.53969	8.51354
348	8.14827	8.28954
349	7.76959	8.09224
350	7.43822	7.92037
351	7.17592	7.77222
352	7.00125	7.64601
353	6.92184	7.5403
354	6.93545	7.45448
355	7.02579	7.38935
356	7.16793	7.34778
358	7.50692	7.34152
359	7.65705	7.36924
360	7.78881	7.4176
361	7.90732	7.4855
362	8.01978	7.57162
363	8.13348	7.67447
364	8.25223	7.79235
365	8.37966	7.92333
366	8.51638	8.06523
367	8.66081	8.21564
368	8.81045	8.37187
369	8.9602	8.53098
370	9.10507	8.68981
371	9.23974	8.84501
372	9.35828	8.99305
373	9.4558	9.13039
374	9.52824	9.25353
375	9.57291	9.35913
376	9.58891	9.4442
377	9.57781	9.5062
379	9.49018	9.48889
380	9.42418	9.3779
381	9.3496	9.21596
382	9.26905	9.00882
383	9.1821	8.76229
384	9.08584	8.48231
385	8.97549	8.17503
386	8.84568	7.84687
387	8.69136	7.50453
