# frame	input	linear Euler
600	-18.5098	-17.5307
601	-18.5822	-17.5854
602	-18.6236	-17.6401
603	-18.6372	-17.6948
604	-18.627	-17.7495
605	-18.5958	-17.8042
606	-18.5446	-17.8589
607	-18.4709	-17.9136
608	-18.3712	-17.9683
609	-18.2409	-18.023
610	-18.0777	-18.0777
611	-17.8818	-17.8434
612	-17.6594	-17.6091
613	-17.4206	-17.3748
614	-17.1783	-17.1405
615	-16.9443	-16.9062
616	-16.7275	-16.6719
617	-16.5296	-16.4376
618	-16.3459	-16.2033
619	-16.1656	-15.969
620	-15.9745	-15.7347
621	-15.7581	-15.5004
622	-15.5055	-15.2661
623	-15.2127	-15.0318
624	-14.883	-14.7975
625	-14.5282	-14.5632
626	-14.1679	-14.3289
627	-13.8265	-14.0946
628	-13.5317	-13.8603
629	-13.309	-13.626
630	-13.1798	-13.3917
631	-13.1574	-13.1574
632	-13.2442	-13.3595
633	-13.4318	-13.5616
634	-13.7011	-13.7637
635	-14.0262	-13.9658
636	-14.3798	-14.1679
637	-14.7374	-14.3701
638	-15.1177	-14.5722
639	-15.5324	-14.7743
640	-15.9994	-14.9764
641	-16.5315	-15.1785
642	-17.1248	-15.3806
643	-17.7526	-15.5827
644	-18.3663	-15.7848
645	-18.9052	-15.9869
646	-19.3038	-16.189
647	-19.4954	-16.3912
648	-19.4618	-16.5933
649	-19.2049	-16.7954
650	-18.7471	-16.9975
651	-18.1288	-17.1996
652	-17.4017	-17.4017
653	-16.6214	-17.8943
654	-15.8383	-18.387
655	-15.0999	-18.8796
656	-14.4296	-19.3723
657	-13.849	-19.8649
658	-13.3734	-20.3576
659	-13.0183	-20.8502
660	-12.803	-21.3428
661	-12.7526	-21.8355
662	-12.8959	-22.3281
663	-13.2611	-22.8208
664	-13.867	-23.3134
665	-14.7282	-23.8061
666	-15.8387	-24.2987
667	-17.1801	-24.7913
668	-18.7221	-25.284
669	-20.4264	-25.7766
670	-22.2319	-26.2693
671	-24.0846	-26.7619
672	-25.9355	-27.2546
673	-27.7472	-27.7472
674	-29.4917	-28.7426
675	-31.1772	-29.7379
676	-32.6211	-30.7333
677	-34.2029	-31.7286
678	-35.7392	-32.724
679	-37.2228	-33.7193
680	-38.6408	-34.7147
681	-39.9753	-35.71
682	-41.2183	-36.7054
683	-42.375	-37.7007
684	-43.4629	-38.6961
685	-44.502	-39.6914
686	-45.5016	-40.6868
687	-46.4501	-41.6821
688	-47.3111	-42.6775
689	-48.0233	-43.6728
690	-48.5526	-44.6682
691	-48.9526	-45.6635
692	-49.0508	-46.6589
693	-48.9381	-47.6542
694	-48.6496	-48.6496
695	-48.2059	-47.9309
696	-47.639	-47.2122
697	-46.9781	-46.4935
698	-46.2469	-45.7748
699	-45.4651	-45.0561
700	-44.65	-44.3375
701	-43.8175	-43.6188
702	-42.9929	-42.9001
703	-42.1825	-42.1814
704	-41.283	-41.4627
705	-40.538	-40.744
706	-39.8261	-40.0253
707	-39.138	-39.3066
708	-38.4664	-38.5879
709	-37.7973	-37.8692
710	-37.1197	-37.1506
711	-36.426	-36.4319
712	-35.7161	-35.7132
713	-34.9956	-34.9945
714	-34.2732	-34.2758
715	-33.5571	-33.5571
716	-32.8528	-32.9474
717	-32.1609	-32.3377
718	-31.4761	-31.7279
719	-30.7896	-31.1182
720	-30.1323	-30.5085
721	-29.4642	-29.8988
722	-28.8811	-29.2891
723	-28.1668	-28.6793
724	-27.4227	-28.0696
725	-26.5645	-27.4599
726	-25.6506	-26.8502
727	-24.6832	-26.2405
728	-23.6694	-25.6308
729	-22.6267	-25.021
730	-21.5963	-24.4113
731	-20.6687	-23.8016
732	-19.9695	-23.1919
733	-19.7276	-22.5822
734	-19.9196	-21.9724
735	-20.2948	-21.3627
736	-20.753	-20.753
737	-21.2392	-21.8103
738	-21.7523	-22.8676
739	-22.3207	-23.9249
740	-22.9872	-24.9822
741	-23.7988	-26.0395
742	-24.7957	-27.0968
743	-26.0011	-28.1541
744	-27.4112	-29.2114
745	-28.9459	-30.2687
746	-30.5948	-31.326
747	-32.2229	-32.3834
748	-33.8861	-33.4407
749	-35.5546	-34.498
750	-36.9621	-35.5553
751	-38.1764	-36.6126
752	-39.1835	-37.6699
753	-40.0512	-38.7272
754	-40.8286	-39.7845
755	-41.5585	-40.8418
756	-42.2666	-41.8991
757	-42.9564	-42.9564
758	-43.6124	-42.7726
759	-44.209	-42.5888
760	-44.7216	-42.4051
761	-45.1372	-42.2213
762	-45.4598	-42.0375
763	-45.7037	-41.8537
764	-45.8908	-41.67
765	-46.0408	-41.4862
766	-46.1632	-41.3024
767	-46.2521	-41.1186
768	-46.2864	-40.9349
769	-46.2336	-40.7511
770	-46.056	-40.5673
771	-45.7192	-40.3835
772	-45.2023	-40.1998
773	-44.4994	-40.016
774	-43.6245	-39.8322
775	-42.6069	-39.6484
776	-41.4856	-39.4647
777	-40.3025	-39.2809
778	-39.0971	-39.0971
779	-37.9058	-39.1576
780	-36.7625	-39.218
781	-35.7024	-39.2785
782	-34.7552	-39.3389
783	-33.9398	-39.3994
784	-33.3244	-39.4599
785	-32.9625	-39.5203
786	-32.9052	-39.5808
787	-33.1815	-39.6413
788	-33.7892	-39.7017
789	-34.6775	-39.7622
790	-35.7456	-39.8226
791	-36.872	-39.8831
792	-37.9382	-39.9436
793	-38.7855	-40.004
794	-39.379	-40.0645
795	-39.7375	-40.125
796	-39.9323	-40.1854
797	-40.0489	-40.2459
798	-40.1739	-40.3063
799	-40.3668	-40.3668
800	-40.6427	-40.1499
