# frame	input	linear Euler
200	5.81169	4.65107
201	5.7792	4.66406
202	5.7407	4.67706
203	5.70066	4.69005
204	5.65981	4.70304
205	5.61233	4.71604
206	5.54624	4.72903
207	5.44671	4.74202
208	5.29561	4.75501
209	5.07698	4.76801
210	4.781	4.781
211	4.40435	4.25383
212	3.95353	3.72666
213	3.43948	3.1995
214	2.87743	2.67233
215	2.28162	2.14516
216	1.66459	1.61799
217	1.03599	1.09082
218	0.402616	0.563655
219	-0.230245	0.0364871
220	-0.856198	-0.490681
221	-1.46783	-1.01785
222	-2.05633	-1.54502
223	-2.61378	-2.07219
224	-3.13418	-2.59935
225	-3.61781	-3.12652
226	-4.0711	-3.65369
227	-4.50558	-4.18086
228	-4.93565	-4.70803
229	-5.37407	-5.23519
230	-5.82634	-5.76236
231	-6.28953	-6.28953
232	-6.74993	-6.02663
233	-7.18602	-5.76374
234	-7.57065	-5.50084
235	-7.87663	-5.23794
236	-8.08257	-4.97505
237	-8.17507	-4.71215
238	-8.1511	-4.44925
239	-8.01774	-4.18636
240	-7.78792	-3.92346
241	-7.4778	-3.66056
242	-7.1025	-3.39767
243	-6.67359	-3.13477
244	-6.19817	-2.87187
245	-5.6786	-2.60898
246	-5.11646	-2.34608
247	-4.51192	-2.08318
248	-3.86419	-1.82029
249	-3.17096	-1.55739
250	-2.42898	-1.29449
251	-1.63079	-1.0316
252	-0.768699	-0.768699
253	0.164533	0.289496
254	1.17274	1.34769
255	2.25697	2.40589
256	3.40497	3.46408
257	4.59802	4.52228
258	5.80867	5.58047
259	7.00691	6.63867
260	8.16086	7.69686
261	9.24968	8.75506
262	10.2634	9.81325
263	11.205	10.8714
264	12.0911	11.9296
265	12.954	12.9878
266	13.8224	14.046
267	14.7251	15.1042
268	15.6799	16.1624
269	16.6972	17.2206
270	17.7786	18.2788
271	18.9252	19.337
272	20.1441	20.3952
273	21.4534	21.4534
274	22.8829	22.3032
275	24.4824	23.1529
276	26.3014	24.0027
277	28.3928	24.8524
278	30.7785	25.7022
279	33.4453	26.5519
280	36.3297	27.4017
281	39.3289	28.2515
282	42.3064	29.1012
283	45.1226	29.951
284	47.643	30.8007
285	49.7408	31.6505
286	51.3034	32.5002
287	52.2296	33.35
288	52.4303	34.1998
289	51.8482	35.0495
290	50.4776	35.8993
291	48.3812	36.749
292	45.6895	37.5988
293	42.5903	38.4485
294	39.2983	39.2983
295	36.0025	37.9642
296	32.8598	36.6302
297	29.9743	35.2961
298	27.3973	33.9621
299	25.1401	32.628
300	23.1845	31.294
301	21.4972	29.9599
302	20.0359	28.6259
303	18.7645	27.2918
304	17.6543	25.9578
305	16.6795	24.6237
306	15.8217	23.2897
307	15.0651	21.9556
308	14.3951	20.6216
309	13.8008	19.2875
310	13.2701	17.9535
311	12.7955	16.6194
312	12.3664	15.2854
313	11.9748	13.9513
314	11.6154	12.6173
315	11.2832	11.2832
316	10.9761	11.0348
317	10.6929	10.7864
318	10.4325	10.5381
319	10.1935	10.2897
320	9.97395	10.0413
321	9.77167	9.79291
322	9.58493	9.54452
323	9.41093	9.29614
324	9.25054	9.04776
325	9.10508	8.79938
326	8.97555	8.55099
327	8.85958	8.30261
328	8.74866	8.05423
329	8.62779	7.80585
330	8.46522	7.55746
331	8.24668	7.30908
332	7.95627	7.0607
333	7.58742	6.81232
334	7.14249	6.56393
335	6.63123	6.31555
336	6.06717	6.06717
337	5.46471	5.62764
338	4.83805	5.18811
339	4.20613	4.74858
340	3.57223	4.30905
