# frame	input	SLERP quaternion
600	-18.5098	-17.3861
601	-18.5822	-17.4423
602	-18.6236	-17.5012
603	-18.6372	-17.5629
604	-18.627	-17.6273
605	-18.5958	-17.6947
606	-18.5446	-17.765
607	-18.4709	-17.8383
608	-18.3712	-17.9148
609	-18.2409	-17.9946
610	-18.0777	-18.0777
611	-17.8818	-17.8352
612	-17.6594	-17.5937
613	-17.4206	-17.3532
614	-17.1783	-17.1136
615	-16.9443	-16.8749
616	-16.7275	-16.6371
617	-16.5296	-16.4002
618	-16.3459	-16.1641
619	-16.1656	-15.9288
620	-15.9745	-15.6943
621	-15.7581	-15.4605
622	-15.5055	-15.2274
623	-15.2127	-14.995
624	-14.883	-14.7633
625	-14.5282	-14.5322
626	-14.1679	-14.3017
627	-13.8265	-14.0718
628	-13.5317	-13.8424
629	-13.309	-13.6136
630	-13.1798	-13.3853
631	-13.1574	-13.1574
632	-13.2442	-13.329
633	-13.4318	-13.5035
634	-13.7011	-13.6808
635	-14.0262	-13.861
636	-14.3798	-14.0442
637	-14.7374	-14.2303
638	-15.1177	-14.4194
639	-15.5324	-14.6116
640	-15.9994	-14.8068
641	-16.5315	-15.0051
642	-17.1248	-15.2066
643	-17.7526	-15.4112
644	-18.3663	-15.619
645	-18.9052	-15.8301
646	-19.3038	-16.0444
647	-19.4954	-16.2621
648	-19.4618	-16.4831
649	-19.2049	-16.7076
650	-18.7471	-16.9355
651	-18.1288	-17.1668
652	-17.4017	-17.4017
653	-16.6214	-17.8984
654	-15.8383	-18.3946
655	-15.0999	-18.8905
656	-14.4296	-19.386
657	-13.849	-19.8811
658	-13.3734	-20.3758
659	-13.0183	-20.8701
660	-12.803	-21.364
661	-12.7526	-21.8575
662	-12.8959	-22.3505
663	-13.2611	-22.8432
664	-13.867	-23.3355
665	-14.7282	-23.8273
666	-15.8387	-24.3187
667	-17.1801	-24.8097
668	-18.7221	-25.3004
669	-20.4264	-25.7905
670	-22.2319	-26.2803
671	-24.0846	-26.7697
672	-25.9355	-27.2586
673	-27.7472	-27.7472
674	-29.4917	-28.5098
675	-31.1772	-29.3034
676	-32.6211	-30.1266
677	-34.2029	-30.9783
678	-35.7392	-31.8572
679	-37.2228	-32.7622
680	-38.6408	-33.6921
681	-39.9753	-34.6457
682	-41.2183	-35.6219
683	-42.375	-36.6194
684	-43.4629	-37.6372
685	-44.502	-38.6739
686	-45.5016	-39.7284
687	-46.4501	-40.7994
688	-47.3111	-41.8856
689	-48.0233	-42.9858
690	-48.5526	-44.0987
691	-48.9526	-45.2229
692	-49.0508	-46.357
693	-48.9381	-47.4997
694	-48.6496	-48.6496
695	-48.2059	-48.0903
696	-47.639	-47.5193
697	-46.9781	-46.936
698	-46.2469	-46.3399
699	-45.4651	-45.7304
700	-44.65	-45.1069
701	-43.8175	-44.4686
702	-42.9929	-43.8151
703	-42.1825	-43.1455
704	-41.283	-42.4592
705	-40.538	-41.7554
706	-39.8261	-41.0332
707	-39.138	-40.2918
708	-38.4664	-39.5304
709	-37.7973	-38.7481
710	-37.1197	-37.9438
711	-36.426	-37.1166
712	-35.7161	-36.2654
713	-34.9956	-35.3892
714	-34.2732	-34.4868
715	-33.5571	-33.5571
716	-32.8528	-32.9591
717	-32.1609	-32.3595
718	-31.4761	-31.7585
719	-30.7896	-31.156
720	-30.1323	-30.5521
721	-29.4642	-29.9468
722	-28.8811	-29.3404
723	-28.1668	-28.7327
724	-27.4227	-28.1238
725	-26.5645	-27.5139
726	-25.6506	-26.903
727	-24.6832	-26.2911
728	-23.6694	-25.6784
729	-22.6267	-25.0648
730	-21.5963	-24.4505
731	-20.6687	-23.8356
732	-19.9695	-23.22
733	-19.7276	-22.6039
734	-19.9196	-21.9873
735	-20.2948	-21.3703
736	-20.753	-20.753
737	-21.2392	-21.5316
738	-21.7523	-22.3295
739	-22.3207	-23.1477
740	-22.9872	-23.9874
741	-23.7988	-24.8498
742	-24.7957	-25.7362
743	-26.0011	-26.6478
744	-27.4112	-27.5861
745	-28.9459	-28.5524
746	-30.5948	-29.5484
747	-32.2229	-30.5755
748	-33.8861	-31.6355
749	-35.5546	-32.73
750	-36.9621	-33.8609
751	-38.1764	-35.03
752	-39.1835	-36.2391
753	-40.0512	-37.4903
754	-40.8286	-38.7856
755	-41.5585	-40.127
756	-42.2666	-41.5166
757	-42.9564	-42.9564
758	-43.6124	-42.7681
759	-44.209	-42.5802
760	-44.7216	-42.3927
761	-45.1372	-42.2056
762	-45.4598	-42.0189
763	-45.7037	-41.8327
764	-45.8908	-41.6469
765	-46.0408	-41.4616
766	-46.1632	-41.2768
767	-46.2521	-41.0924
768	-46.2864	-40.9084
769	-46.2336	-40.725
770	-46.056	-40.542
771	-45.7192	-40.3596
772	-45.2023	-40.1777
773	-44.4994	-39.9962
774	-43.6245	-39.8153
775	-42.6069	-39.635
776	-41.4856	-39.4551
777	-40.3025	-39.2758
778	-39.0971	-39.0971
779	-37.9058	-39.0883
780	-36.7625	-39.0869
781	-35.7024	-39.0926
782	-34.7552	-39.1055
783	-33.9398	-39.1254
784	-33.3244	-39.1522
785	-32.9625	-39.1858
786	-32.9052	-39.2263
787	-33.1815	-39.2735
788	-33.7892	-39.3274
789	-34.6775	-39.3881
790	-35.7456	-39.4555
791	-36.872	-39.5295
792	-37.9382	-39.6103
793	-38.7855	-39.6978
794	-39.379	-39.7921
795	-39.7375	-39.8932
796	-39.9323	-40.0011
797	-40.0489	-40.116
798	-40.1739	-40.2378
799	-40.3668	-40.3668
800	-40.6427	-40.1636
