# frame	input	SLERP quaternion
200	6.90402	7.12366
201	6.95523	7.18201
202	7.01415	7.24025
203	7.07764	7.2984
204	7.14443	7.35645
205	7.21493	7.41441
206	7.29181	7.47229
207	7.37821	7.53009
208	7.47577	7.58782
209	7.5855	7.64549
211	7.8219	7.90945
212	7.93273	8.10953
213	8.02536	8.30335
214	8.09292	8.49095
215	8.133	8.67236
216	8.14934	8.84761
217	8.15219	9.0167
218	8.15587	9.17968
219	8.17815	9.33653
220	8.23548	9.48729
221	8.34081	9.63196
222	8.50121	9.77053
223	8.71659	9.90302
224	8.98	10.0294
225	9.27884	10.1497
226	9.5961	10.2639
227	9.91159	10.372
228	10.2039	10.4739
229	10.4519	10.5696
230	10.6363	10.6592
232	10.7614	10.6127
233	10.6921	10.4892
234	10.5417	10.3722
235	10.3247	10.2615
236	10.0605	10.1572
237	9.77159	10.0594
238	9.48089	9.96803
239	9.20983	9.8833
240	8.97641	9.80533
241	8.7941	9.7343
242	8.6708	9.67043
243	8.60834	9.61399
244	8.60267	9.56531
245	8.64504	9.52477
246	8.72696	9.49282
247	8.83358	9.46999
248	8.95345	9.4569
249	9.07932	9.45426
250	9.20935	9.46292
251	9.35083	9.48386
253	9.73265	9.70102
254	10.0182	9.90715
255	10.3936	10.1385
256	10.8765	10.3969
257	11.4674	10.6849
258	12.1516	11.0048
259	12.9018	11.3596
260	13.6798	11.7525
261	14.4502	12.1873
262	15.1837	12.668
263	15.8644	13.1994
264	16.4958	13.787
265	17.0974	14.437
266	17.6957	15.1566
267	18.3196	15.9539
268	18.988	16.8387
269	19.7091	17.8219
270	20.4793	18.9164
271	21.291	20.1373
272	22.1398	21.5021
274	23.9848	23.2755
275	25.0427	23.5324
276	26.2516	23.8023
277	27.6663	24.0858
278	29.3161	24.3834
279	31.1991	24.6955
280	33.2669	25.0228
281	35.4355	25.3657
282	37.5907	25.7248
283	39.6173	26.1007
284	41.407	26.4941
285	42.8587	26.9055
286	43.8816	27.3357
287	44.3898	27.7852
288	44.301	28.2549
289	43.5546	28.7454
290	42.134	29.2575
291	40.0844	29.792
292	37.5169	30.3495
293	34.6011	30.931
295	28.5038	28.6659
296	25.6513	26.2294
297	23.0792	24.1489
298	20.8347	22.3615
299	18.9236	20.8171
300	17.3237	19.4753
301	15.9987	18.304
302	14.9064	17.2771
303	14.0132	16.3733
304	13.2951	15.5753
305	12.7307	14.8688
306	12.3034	14.2419
307	11.9937	13.6847
308	11.7781	13.1887
309	11.6303	12.7471
310	11.5223	12.3537
311	11.4311	12.0035
312	11.3369	11.6921
313	11.2281	11.4156
314	11.1006	11.1708
316	10.7956	10.9423
317	10.6273	10.9364
318	10.4531	10.9368
319	10.2728	10.9434
320	10.0857	10.9557
321	9.88999	10.9736
322	9.68623	10.9967
323	9.52614	11.025
324	9.42697	11.0581
325	9.41985	11.0959
326	9.52607	11.1383
327	9.74844	11.1851
328	10.0692	11.2361
329	10.4534	11.2913
330	10.8431	11.3505
331	11.2052	11.4136
332	11.4816	11.4805
333	11.6794	11.5511
334	11.7929	11.6254
335	11.8257	11.7034
337	11.6774	11.418
338	11.5108	11.0721
339	11.2993	10.7458
340	11.0399	10.4379
341	10.7424	10.1475
342	10.4151	9.87371
343	10.0655	9.61561
344	9.70011	9.37245
345	9.32151	9.14356
346	8.93319	8.92832
347	8.53969	8.72615
348	8.14827	8.53655
349	7.76959	8.35907
350	7.43822	8.19329
351	7.17592	8.03886
352	7.00125	7.89545
353	6.92184	7.76279
354	6.93545	7.64064
355	7.02579	7.52879
356	7.16793	7.42708
358	7.50692	7.41268
359	7.65705	7.4924
360	7.78881	7.57459
361	7.90732	7.65928
362	8.01978	7.74652
363	8.13348	7.83637
364	8.25223	7.92889
365	8.37966	8.02413
366	8.51638	8.12214
367	8.66081	8.22301
368	8.81045	8.32679
369	8.9602	8.43357
370	9.10507	8.5434
371	9.23974	8.65639
372	9.35828	8.77261
373	9.4558	8.89215
374	9.52824	9.01511
375	9.57291	9.14158
376	9.58891	9.27168
377	9.57781	9.40551
379	9.49018	9.35519
380	9.42418	9.16583
381	9.3496	8.97505
382	9.26905	8.78279
383	9.1821	8.58899
384	9.08584	8.39359
385	8.97549	8.19652
386	8.84568	7.99773
387	8.69136	7.79714
388	8.50943	7.59469
389	8.29927	7.39031
390	8.06272	7.18391
391	7.80361	6.97543
392	7.52702	6.7648
393	7.23763	6.55192
394	6.93882	6.33672
395	6.631	6.11911
396	6.31183	5.899
397	5.97572	5.67631
398	5.61526	5.45093
400	4.79296	5.09825
401	4.32464	4.97373
402	3.82275	4.84918
403	3.29833	4.72463
404	2.76769	4.60006
405	2.25043	4.47548
406	1.76752	4.35089
407	1.33875	4.22628
408	0.98123	4.10167
409	0.709074	3.97703
410	0.532276	3.85239
411	0.457221	3.72774
412	0.485654	3.60307
413	0.613516	3.47839
414	0.828727	3.3537
415	1.11159	3.22899
416	1.4354	3.10428
417	1.77028	2.97955
418	2.08884	2.85481
419	2.37061	2.73005
421	2.79413	2.92028
422	2.94781	3.21
423	3.0828	3.47637
424	3.21689	3.72106
425	3.36451	3.94555
426	3.53369	4.15115
427	3.72422	4.33901
428	3.9285	4.51015
429	4.13512	4.66544
430	4.33189	4.80568
431	4.50947	4.93155
432	4.66273	5.04362
433	4.79063	5.14242
434	4.89562	5.22837
435	4.98223	5.30182
436	5.05657	5.36308
437	5.12649	5.41235
438	5.19997	5.44982
439	5.28398	5.47559
440	5.38197	5.48969
442	5.60654	5.42169
443	5.71249	5.35223
444	5.79493	5.28361
445	5.84015	5.21569
446	5.83691	5.14835
447	5.78012	5.08147
448	5.67006	5.01491
449	5.51233	4.94855
450	5.31707	4.88226
451	5.09697	4.81589
452	4.86619	4.74932
453	4.63855	4.68237
454	4.42641	4.61491
455	4.24051	4.54676
456	4.08879	4.47773
457	3.97742	4.40764
458	3.90972	4.33625
459	3.88641	4.26332
460	3.90511	4.1886
461	3.95794	4.11176
463	4.11153	3.98846
464	4.17607	3.95416
465	4.21014	3.9302
466	4.2056	3.91729
467	4.16577	3.91623
468	4.1063	3.92794
469	4.05205	3.95347
470	4.03343	3.99401
471	4.07831	4.05093
472	4.20384	4.12582
473	4.41373	4.22049
474	4.69408	4.33706
475	5.02022	4.47799
476	5.36091	4.64618
477	5.68636	4.84501
478	5.97572	5.07852
479	6.2198	5.35151
480	6.42394	5.66975
481	6.6041	6.04023
482	6.78108	6.47148
484	7.18919	6.66618
485	7.42111	6.3314
486	7.64931	5.96362
487	7.83985	5.55485
488	7.95344	5.09437
489	7.94651	4.56739
490	7.78173	3.95302
491	7.42743	3.22065
492	6.8536	2.32369
493	6.02864	1.18758
494	4.89106	-0.314746
495	3.31392	-2.41812
496	1.0107	-5.60715
497	-2.73522	-11.0499
498	-10.1159	-22.2675
499	-30.9194	-52.4594
500	-99.7233	-111.238
