# frame	input	Bezier SLERP quaternion
600	-18.5098	-17.4728
601	-18.5822	-17.5956
602	-18.6236	-17.7164
603	-18.6372	-17.831
604	-18.627	-17.9353
605	-18.5958	-18.0246
606	-18.5446	-18.0943
607	-18.4709	-18.1395
608	-18.3712	-18.1551
609	-18.2409	-18.1361
610	-18.0777	-18.0777
611	-17.8818	-17.9725
612	-17.6594	-17.8197
613	-17.4206	-17.625
614	-17.1783	-17.394
615	-16.9443	-17.1327
616	-16.7275	-16.8471
617	-16.5296	-16.5431
618	-16.3459	-16.2263
619	-16.1656	-15.9024
620	-15.9745	-15.5764
621	-15.7581	-15.2535
622	-15.5055	-14.9383
623	-15.2127	-14.6354
624	-14.883	-14.3491
625	-14.5282	-14.0836
626	-14.1679	-13.8429
627	-13.8265	-13.6311
628	-13.5317	-13.4524
629	-13.309	-13.3109
630	-13.1798	-13.211
631	-13.1574	-13.1574
632	-13.2442	-13.1396
633	-13.4318	-13.144
634	-13.7011	-13.1708
635	-14.0262	-13.2205
636	-14.3798	-13.2935
637	-14.7374	-13.3903
638	-15.1177	-13.5112
639	-15.5324	-13.6563
640	-15.9994	-13.8258
641	-16.5315	-14.0194
642	-17.1248	-14.2366
643	-17.7526	-14.4767
644	-18.3663	-14.7387
645	-18.9052	-15.0211
646	-19.3038	-15.3223
647	-19.4954	-15.6405
648	-19.4618	-15.9733
649	-19.2049	-16.3185
650	-18.7471	-16.6735
651	-18.1288	-17.0354
652	-17.4017	-17.4017
653	-16.6214	-17.775
654	-15.8383	-18.1602
655	-15.0999	-18.5577
656	-14.4296	-18.9678
657	-13.849	-19.3907
658	-13.3734	-19.8265
659	-13.0183	-20.275
660	-12.803	-20.7361
661	-12.7526	-21.2093
662	-12.8959	-21.6944
663	-13.2611	-22.1907
664	-13.867	-22.6978
665	-14.7282	-23.2153
666	-15.8387	-23.7429
667	-17.1801	-24.2803
668	-18.7221	-24.8278
669	-20.4264	-25.3857
670	-22.2319	-25.9548
671	-24.0846	-26.5367
672	-25.9355	-27.1333
673	-27.7472	-27.7472
674	-29.4917	-28.4276
675	-31.1772	-29.2153
676	-32.6211	-30.1013
677	-34.2029	-31.0762
678	-35.7392	-32.1299
679	-37.2228	-33.2515
680	-38.6408	-34.4294
681	-39.9753	-35.6508
682	-41.2183	-36.9021
683	-42.375	-38.1691
684	-43.4629	-39.4367
685	-44.502	-40.6894
686	-45.5016	-41.9116
687	-46.4501	-43.0873
688	-47.3111	-44.2004
689	-48.0233	-45.2349
690	-48.5526	-46.1747
691	-48.9526	-47.0033
692	-49.0508	-47.7039
693	-48.9381	-48.259
694	-48.6496	-48.6496
695	-48.2059	-48.8757
696	-47.639	-48.9564
697	-46.9781	-48.8994
698	-46.2469	-48.7113
699	-45.4651	-48.3976
700	-44.65	-47.9638
701	-43.8175	-47.4152
702	-42.9929	-46.7576
703	-42.1825	-45.9977
704	-41.283	-45.1432
705	-40.538	-44.2031
706	-39.8261	-43.1884
707	-39.138	-42.1119
708	-38.4664	-40.9885
709	-37.7973	-39.8358
710	-37.1197	-38.6734
711	-36.426	-37.5233
712	-35.7161	-36.4099
713	-34.9956	-35.3593
714	-34.2732	-34.3989
715	-33.5571	-33.5571
716	-32.8528	-32.7694
717	-32.1609	-31.9566
718	-31.4761	-31.1253
719	-30.7896	-30.2822
720	-30.1323	-29.434
721	-29.4642	-28.5873
722	-28.8811	-27.7489
723	-28.1668	-26.9255
724	-27.4227	-26.1239
725	-26.5645	-25.351
726	-25.6506	-24.6135
727	-24.6832	-23.9186
728	-23.6694	-23.2731
729	-22.6267	-22.6841
730	-21.5963	-22.1588
731	-20.6687	-21.7043
732	-19.9695	-21.3279
733	-19.7276	-21.037
734	-19.9196	-20.839
735	-20.2948	-20.7417
736	-20.753	-20.753
737	-21.2392	-20.911
738	-21.7523	-21.2418
739	-22.3207	-21.7349
740	-22.9872	-22.3798
741	-23.7988	-23.1658
742	-24.7957	-24.0818
743	-26.0011	-25.1169
744	-27.4112	-26.2592
745	-28.9459	-27.4966
746	-30.5948	-28.8159
747	-32.2229	-30.2024
748	-33.8861	-31.6397
749	-35.5546	-33.1095
750	-36.9621	-34.5909
751	-38.1764	-36.0601
752	-39.1835	-37.4906
753	-40.0512	-38.8531
754	-40.8286	-40.1156
755	-41.5585	-41.2441
756	-42.2666	-42.203
757	-42.9564	-42.9564
758	-43.6124	-43.5202
759	-44.209	-43.9388
760	-44.7216	-44.2199
761	-45.1372	-44.3724
762	-45.4598	-44.4065
763	-45.7037	-44.3331
764	-45.8908	-44.1639
765	-46.0408	-43.9115
766	-46.1632	-43.5888
767	-46.2521	-43.2093
768	-46.2864	-42.7864
769	-46.2336	-42.3341
770	-46.056	-41.8659
771	-45.7192	-41.3954
772	-45.2023	-40.9358
773	-44.4994	-40.5001
774	-43.6245	-40.1006
775	-42.6069	-39.7494
776	-41.4856	-39.4579
777	-40.3025	-39.237
778	-39.0971	-39.0971
779	-37.9058	-39.0182
780	-36.7625	-38.9718
781	-35.7024	-38.9557
782	-34.7552	-38.9672
783	-33.9398	-39.0034
784	-33.3244	-39.0615
785	-32.9625	-39.1385
786	-32.9052	-39.2312
787	-33.1815	-39.3368
788	-33.7892	-39.4519
789	-34.6775	-39.5736
790	-35.7456	-39.6985
791	-36.872	-39.8234
792	-37.9382	-39.9448
793	-38.7855	-40.0592
794	-39.379	-40.1627
795	-39.7375	-40.2513
796	-39.9323	-40.3207
797	-40.0489	-40.3664
798	-40.1739	-40.3835
799	-40.3668	-40.3668
800	-40.6427	-40.321
